iter	Passed	Remaining
876	4193	24499
877	4197	24487
878	4201	24475
879	4204	24463
880	4208	24452
881	4212	24441
882	4215	24430
883	4219	24419
884	4223	24409
885	4227	24399
886	4231	24389
887	4234	24378
888	4238	24367
889	4242	24358
890	4246	24347
891	4249	24336
892	4253	24324
893	4256	24312
894	4260	24301
895	4264	24291
896	4268	24281
897	4271	24270
898	4275	24260
899	4279	24249
900	4283	24239
901	4286	24229
902	4290	24219
903	4294	24208
904	4298	24197
905	4302	24189
906	4305	24178
907	4309	24169
908	4313	24159
909	4317	24147
910	4320	24136
911	4324	24126
912	4328	24117
913	4332	24106
914	4335	24096
915	4339	24085
916	4343	24074
917	4347	24065
918	4350	24055
919	4354	24044
920	4358	24035
921	4361	24024
922	4365	24014
923	4369	24004
924	4373	23994
925	4377	23984
926	4380	23973
927	4384	23963
928	4388	23953
929	4391	23943
930	4395	23932
931	4399	23923
932	4403	23914
933	4407	23904
934	4411	23895
935	4415	23886
936	4418	23876
937	4422	23867
938	4426	23858
939	4430	23849
940	4434	23838
941	4437	23828
942	4441	23820
943	4445	23810
944	4449	23800
945	4452	23789
946	4456	23780
947	4460	23771
948	4464	23763
949	4468	23755
950	4472	23745
951	4476	23736
952	4480	23726
953	4483	23716
954	4487	23706
955	4491	23697
956	4495	23687
957	4498	23677
958	4502	23667
959	4506	23658
960	4510	23649
961	4513	23639
962	4517	23629
963	4521	23619
964	4525	23610
965	4528	23600
966	4532	23591
967	4536	23581
968	4540	23573
969	4544	23564
970	4547	23554
971	4551	23546
972	4556	23539
973	4560	23530
974	4564	23522
975	4568	23514
976	4572	23508
977	4576	23501
978	4580	23492
979	4584	23484
980	4588	23477
981	4593	23471
982	4597	23462
983	4600	23453
984	4604	23445
985	4609	23437
986	4613	23430
987	4616	23420
988	4620	23411
989	4624	23401
990	4628	23392
991	4631	23382
992	4635	23373
993	4639	23366
994	4643	23357
995	4647	23349
996	4651	23341
997	4655	23332
998	4659	23323
999	4662	23314
1000	4666	23304
1001	4670	23295
1002	4674	23286
1003	4677	23277
1004	4681	23267
1005	4685	23259
1006	4689	23249
1007	4692	23239
1008	4696	23231
1009	4700	23221
1010	4704	23214
1011	4708	23205
1012	4711	23196
1013	4715	23187
1014	4719	23177
1015	4722	23168
1016	4726	23160
1017	4730	23151
1018	4734	23141
1019	4737	23131
1020	4741	23123
1021	4745	23114
1022	4749	23104
1023	4753	23096
1024	4756	23088
1025	4760	23079
1026	4764	23069
1027	4768	23060
1028	4771	23052
1029	4775	23045
1030	4779	23035
1031	4783	23026
1032	4787	23017
1033	4790	23008
1034	4794	22999
1035	4798	22990
1036	4801	22981
1037	4805	22972
1038	4809	22963
1039	4813	22954
1040	4816	22945
1041	4820	22936
1042	4824	22927
1043	4827	22917
1044	4831	22907
1045	4834	22897
1046	4838	22888
1047	4842	22880
1048	4845	22870
1049	4849	22862
1050	4853	22853
1051	4856	22844
1052	4860	22834
1053	4864	22826
1054	4868	22817
1055	4871	22808
1056	4875	22799
1057	4878	22789
1058	4882	22780
1059	4886	22771
1060	4889	22762
1061	4893	22753
1062	4897	22743
1063	4900	22734
1064	4904	22726
1065	4908	22718
1066	4912	22709
1067	4915	22701
1068	4919	22692
1069	4923	22684
1070	4927	22676
1071	4931	22668
1072	4934	22659
1073	4938	22652
1074	4942	22645
1075	4946	22635
1076	4949	22625
1077	4953	22617
1078	4957	22607
1079	4960	22599
1080	4964	22589
1081	4968	22581
1082	4972	22574
1083	4975	22565
1084	4979	22555
1085	4983	22547
1086	4986	22539
1087	4990	22530
1088	4994	22522
1089	4997	22512
1090	5001	22504
1091	5005	22496
1092	5009	22488
1093	5012	22479
1094	5016	22471
1095	5020	22462
1096	5023	22452
1097	5027	22444
1098	5031	22435
1099	5034	22426
1100	5038	22419
1101	5042	22411
1102	5045	22402
1103	5049	22393
1104	5053	22384
1105	5056	22376
1106	5060	22367
1107	5064	22359
1108	5068	22351
1109	5071	22342
1110	5075	22333
1111	5078	22325
1112	5082	22315
1113	5085	22307
1114	5089	22298
1115	5093	22291
1116	5097	22283
1117	5101	22275
1118	5104	22267
1119	5108	22258
1120	5111	22249
1121	5115	22240
1122	5119	22233
1123	5123	22225
1124	5127	22217
1125	5130	22209
1126	5134	22202
1127	5138	22192
1128	5141	22184
1129	5145	22176
1130	5149	22169
1131	5153	22161
1132	5157	22153
1133	5160	22144
1134	5164	22135
1135	5167	22125
1136	5171	22117
1137	5174	22109
1138	5178	22101
1139	5182	22093
1140	5186	22085
1141	5189	22077
1142	5193	22069
1143	5197	22062
1144	5201	22053
1145	5204	22045
1146	5208	22036
1147	5211	22028
1148	5215	22019
1149	5219	22012
1150	5223	22004
1151	5226	21995
1152	5230	21987
1153	5234	21979
1154	5237	21970
1155	5241	21962
1156	5245	21955
1157	5248	21947
1158	5252	21939
1159	5256	21932
1160	5260	21924
1161	5263	21914
1162	5267	21907
1163	5271	21899
1164	5274	21891
1165	5278	21882
1166	5282	21874
1167	5285	21867
1168	5289	21860
1169	5293	21853
1170	5297	21846
1171	5301	21837
1172	5304	21829
1173	5308	21821
1174	5311	21812
1175	5315	21805
1176	5319	21797
1177	5323	21789
1178	5327	21782
1179	5330	21775
1180	5334	21767
1181	5338	21758
1182	5341	21750
1183	5345	21741
1184	5348	21733
1185	5352	21725
1186	5355	21717
1187	5359	21709
1188	5363	21701
1189	5367	21693
1190	5370	21684
1191	5374	21676
1192	5377	21667
1193	5381	21659
1194	5384	21651
1195	5388	21643
1196	5392	21635
1197	5395	21627
1198	5399	21620
1199	5403	21612
1200	5406	21604
1201	5410	21596
1202	5414	21588
1203	5418	21582
1204	5421	21574
1205	5425	21566
1206	5429	21559
1207	5433	21552
1208	5437	21546
1209	5441	21539
1210	5445	21533
1211	5448	21525
1212	5452	21519
1213	5456	21512
1214	5460	21504
1215	5464	21498
1216	5468	21491
1217	5471	21483
1218	5475	21475
1219	5479	21469
1220	5483	21463
1221	5487	21457
1222	5491	21450
1223	5495	21444
1224	5499	21438
1225	5504	21433
1226	5508	21426
1227	5511	21419
1228	5515	21412
1229	5519	21405
1230	5523	21398
1231	5527	21391
1232	5531	21384
1233	5534	21377
1234	5538	21369
1235	5542	21362
1236	5546	21355
1237	5549	21347
1238	5553	21341
1239	5557	21333
1240	5561	21326
1241	5565	21319
1242	5568	21312
1243	5572	21305
1244	5576	21297
1245	5579	21289
1246	5583	21283
1247	5588	21278
1248	5592	21271
1249	5595	21263
1250	5599	21256
1251	5603	21248
1252	5606	21241
1253	5610	21233
1254	5614	21226
1255	5617	21218
1256	5621	21211
1257	5624	21202
1258	5628	21194
1259	5632	21188
1260	5636	21181
1261	5640	21174
1262	5643	21166
1263	5647	21160
1264	5651	21153
1265	5655	21146
1266	5658	21139
1267	5662	21132
1268	5666	21125
1269	5670	21118
1270	5673	21110
1271	5677	21103
1272	5681	21096
1273	5685	21089
1274	5688	21082
1275	5692	21074
1276	5696	21067
1277	5699	21060
1278	5703	21054
1279	5708	21048
1280	5712	21042
1281	5716	21036
1282	5720	21031
1283	5724	21025
1284	5728	21019
1285	5732	21013
1286	5736	21007
1287	5740	21000
1288	5744	20993
1289	5747	20986
1290	5751	20980
1291	5755	20973
1292	5759	20966
1293	5763	20959
1294	5766	20951
1295	5770	20944
1296	5773	20936
1297	5777	20928
1298	5781	20922
1299	5784	20914
1300	5788	20907
1301	5792	20899
1302	5796	20893
1303	5799	20885
1304	5803	20879
1305	5807	20872
1306	5810	20864
1307	5814	20857
1308	5818	20850
1309	5821	20842
1310	5825	20837
1311	5829	20831
1312	5833	20823
1313	5837	20816
1314	5840	20809
1315	5844	20802
1316	5848	20795
1317	5851	20788
1318	5855	20780
1319	5859	20774
1320	5863	20767
1321	5866	20759
1322	5870	20754
1323	5874	20746
1324	5878	20739
1325	5881	20732
1326	5885	20726
1327	5889	20718
1328	5892	20711
1329	5896	20705
1330	5900	20697
1331	5904	20690
1332	5907	20683
1333	5911	20676
1334	5914	20669
1335	5919	20663
1336	5922	20655
1337	5926	20649
1338	5930	20642
1339	5933	20635
1340	5937	20629
1341	5941	20622
1342	5945	20616
1343	5949	20609
1344	5953	20604
1345	5957	20597
1346	5961	20591
1347	5964	20585
1348	5968	20578
1349	5972	20570
1350	5976	20564
1351	5979	20557
1352	5983	20550
1353	5987	20543
1354	5990	20537
1355	5994	20530
1356	5998	20523
1357	6002	20517
1358	6006	20511
1359	6009	20504
1360	6013	20496
1361	6017	20489
1362	6020	20482
1363	6024	20475
1364	6028	20469
1365	6031	20462
1366	6035	20455
1367	6039	20447
1368	6042	20441
1369	6046	20434
1370	6050	20427
1371	6053	20420
1372	6057	20414
1373	6061	20407
1374	6065	20400
1375	6068	20393
1376	6072	20387
1377	6076	20380
1378	6079	20373
1379	6083	20366
1380	6087	20359
1381	6090	20352
1382	6094	20346
1383	6098	20339
1384	6102	20332
1385	6105	20325
1386	6109	20318
1387	6112	20311
1388	6116	20304
1389	6120	20297
1390	6123	20291
1391	6127	20284
1392	6131	20278
1393	6135	20271
1394	6138	20263
1395	6142	20257
1396	6145	20250
1397	6149	20243
1398	6153	20237
1399	6156	20229
1400	6160	20223
1401	6164	20217
1402	6168	20210
1403	6172	20204
1404	6175	20198
1405	6179	20192
1406	6183	20185
1407	6187	20178
1408	6190	20171
1409	6194	20165
1410	6198	20158
1411	6201	20151
1412	6205	20145
1413	6209	20138
1414	6212	20131
1415	6216	20125
1416	6220	20117
1417	6223	20111
1418	6227	20105
1419	6231	20098
1420	6235	20092
1421	6238	20085
1422	6242	20078
1423	6246	20072
1424	6250	20066
1425	6253	20059
1426	6257	20052
1427	6261	20045
1428	6264	20038
1429	6268	20032
1430	6272	20026
1431	6275	20019
1432	6279	20012
1433	6283	20005
1434	6286	19999
1435	6290	19993
1436	6294	19987
1437	6298	19980
1438	6301	19973
1439	6305	19967
1440	6309	19960
1441	6312	19953
1442	6316	19947
1443	6320	19940
1444	6323	19933
1445	6327	19926
1446	6330	19920
1447	6334	19913
1448	6338	19907
1449	6342	19901
1450	6345	19894
1451	6349	19887
1452	6352	19880
1453	6356	19873
1454	6360	19867
1455	6363	19860
1456	6367	19854
1457	6371	19848
1458	6374	19841
1459	6378	19834
1460	6382	19827
1461	6385	19820
1462	6389	19813
1463	6392	19807
1464	6396	19801
1465	6400	19794
1466	6404	19788
1467	6407	19782
1468	6411	19775
1469	6415	19770
1470	6419	19763
1471	6422	19757
1472	6426	19750
1473	6430	19744
1474	6434	19739
1475	6438	19733
1476	6442	19728
1477	6445	19721
1478	6449	19715
1479	6453	19709
1480	6457	19703
1481	6461	19697
1482	6464	19691
1483	6468	19684
1484	6472	19678
1485	6475	19671
1486	6479	19664
1487	6483	19658
1488	6486	19651
1489	6489	19644
1490	6493	19637
1491	6497	19631
1492	6501	19625
1493	6504	19619
1494	6508	19612
1495	6512	19606
1496	6515	19599
1497	6519	19593
1498	6522	19586
1499	6526	19579
1500	6530	19573
1501	6533	19567
1502	6537	19561
1503	6541	19555
1504	6545	19548
1505	6548	19541
1506	6552	19534
1507	6555	19528
1508	6559	19521
1509	6563	19515
1510	6566	19509
1511	6570	19503
1512	6574	19497
1513	6578	19491
1514	6581	19484
1515	6585	19478
1516	6589	19471
1517	6592	19465
1518	6596	19458
1519	6599	19452
1520	6603	19445
1521	6607	19439
1522	6610	19432
1523	6614	19426
1524	6617	19419
1525	6621	19412
1526	6625	19407
1527	6629	19401
1528	6633	19395
1529	6636	19389
1530	6640	19384
1531	6644	19377
1532	6647	19371
1533	6651	19365
1534	6655	19358
1535	6658	19351
1536	6662	19345
1537	6665	19338
1538	6669	19332
1539	6673	19326
1540	6676	19319
1541	6680	19313
1542	6683	19306
1543	6687	19300
1544	6691	19294
1545	6695	19288
1546	6698	19282
1547	6702	19276
1548	6706	19270
1549	6710	19264
1550	6713	19258
1551	6717	19252
1552	6721	19245
1553	6724	19239
1554	6728	19232
1555	6731	19226
1556	6735	19219
1557	6739	19213
1558	6742	19207
1559	6746	19202
1560	6750	19197
1561	6754	19190
1562	6757	19184
1563	6761	19178
1564	6765	19172
1565	6768	19165
1566	6772	19160
1567	6776	19154
1568	6780	19149
1569	6784	19143
1570	6788	19137
1571	6791	19131
1572	6795	19124
1573	6799	19118
1574	6802	19112
1575	6806	19107
1576	6810	19101
1577	6814	19096
1578	6818	19091
1579	6822	19085
1580	6826	19080
1581	6830	19074
1582	6833	19068
1583	6837	19062
1584	6841	19056
1585	6845	19050
1586	6848	19044
1587	6852	19038
1588	6856	19032
1589	6860	19026
1590	6863	19021
1591	6867	19014
1592	6871	19009
1593	6874	19002
1594	6878	18996
1595	6882	18990
1596	6885	18984
1597	6889	18978
1598	6893	18972
1599	6896	18966
1600	6900	18960
1601	6904	18954
1602	6907	18948
1603	6911	18942
1604	6915	18937
1605	6919	18931
1606	6923	18925
1607	6926	18919
1608	6930	18914
1609	6934	18908
1610	6938	18903
1611	6942	18897
1612	6946	18891
1613	6949	18885
1614	6953	18879
1615	6957	18874
1616	6961	18868
1617	6965	18863
1618	6968	18857
1619	6972	18852
1620	6976	18846
1621	6980	18840
1622	6983	18834
1623	6987	18829
1624	6991	18822
1625	6995	18817
1626	6999	18811
1627	7002	18805
1628	7006	18799
1629	7010	18794
1630	7013	18788
1631	7017	18782
1632	7021	18776
1633	7024	18770
